date,open,high,low,close,volume,announcement_date
2023-10-04,422.07,425.4299,420.56,424.66,87452968.0,2023-11-01
2023-10-05,424.36,425.37,421.1701,424.5,70142744.0,2023-11-01
2023-10-06,421.97,431.125,420.6,429.54,113273309.0,2023-11-01
2023-10-09,427.58,432.88,427.0101,432.29,80374362.0,2023-11-01
2023-10-10,432.94,437.22,432.53,434.54,78607268.0,2023-11-01
2023-10-11,435.64,436.58,433.18,436.32,62451736.0,2023-11-01
2023-10-12,436.95,437.335,431.23,433.66,81154230.0,2023-11-01
2023-10-13,435.21,436.45,429.88,431.5,95201132.0,2023-11-01
2023-10-16,433.82,437.14,433.57,436.04,75433194.0,2023-11-01
2023-10-17,432.81,438.14,432.45,436.02,75324708.0,2023-11-01
2023-10-18,434.19,435.18,429.09,430.21,93559798.0,2023-11-01
2023-10-19,430.95,432.82,425.725,426.43,121322957.0,2023-11-01
2023-10-20,425.98,426.54,421.08,421.19,123919874.0,2023-11-01
2023-10-23,419.61,424.45,417.8,420.46,92035095.0,2023-11-01
2023-10-24,422.65,424.82,420.74,423.63,78564239.0,2023-11-01
2023-10-25,421.89,421.92,417.015,417.55,94223198.0,2023-11-01
2023-10-26,416.45,417.325,411.6,412.55,115156761.0,2023-11-01
2023-10-27,414.19,414.6,409.21,410.68,107367671.0,2023-11-01
2023-10-30,413.56,416.68,412.22,415.59,86562675.0,2023-11-01
2023-10-31,416.18,418.53,414.21,418.2,79665150.0,2023-11-01
2023-11-01,419.2,423.5,418.6499,422.66,98068115.0,2023-11-01
2023-11-02,426.58,430.915,426.56,430.76,94938909.0,2023-11-01
2023-11-03,433.14,436.29,433.01,434.69,100167775.0,2023-11-01
2023-11-06,435.47,436.1498,433.68,435.69,67831660.0,2023-11-01
2023-11-07,435.69,437.585,434.51,436.93,64256114.0,2023-11-01
2023-11-08,437.55,438.09,434.87,437.25,61746027.0,2023-11-01
2023-11-09,438.43,438.47,433.4,433.84,83174417.0,2023-11-01
2023-11-10,435.98,440.93,433.8335,440.61,89558054.0,2023-11-01
2023-11-13,439.23,441.33,438.42,440.19,52236068.0,2023-11-01
2023-11-14,446.32,450.06,446.09,448.73,97176935.0,2023-11-01
2023-11-15,450.11,451.38,448.8,449.68,77327573.0,2023-11-01
2023-11-16,449.22,450.56,448.12,450.23,66665797.0,2023-11-01
2023-11-17,450.24,451.42,449.29,450.79,83193902.0,2023-11-01
2023-11-20,450.53,455.125,450.52,454.26,70055633.0,2023-11-01
2023-11-21,453.1842,454.131,451.9599,453.27,49244639.0,2023-11-01
2023-11-22,454.98,456.38,453.8895,455.02,59446573.0,2023-11-01
2023-11-24,455.07,455.5,454.73,455.3,29737375.0,2023-11-01
2023-11-27,454.65,455.4901,454.0799,454.48,50505985.0,2023-11-01
2023-11-28,454.08,456.27,453.5,454.93,62115011.0,2023-11-01
2023-11-29,457.15,458.32,454.2,454.61,63145992.0,2023-11-01
2023-11-30,455.48,456.76,453.34,456.4,79752700.0,2023-11-01
2023-12-01,455.77,459.65,455.16,459.1,89183400.0,2023-11-01
2023-11-13,439.23,441.33,438.42,440.19,52236068.0,2023-12-13
2023-11-14,446.32,450.06,446.09,448.73,97176935.0,2023-12-13
2023-11-15,450.11,451.38,448.8,449.68,77327573.0,2023-12-13
2023-11-16,449.22,450.56,448.12,450.23,66665797.0,2023-12-13
2023-11-17,450.24,451.42,449.29,450.79,83193902.0,2023-12-13
2023-11-20,450.53,455.125,450.52,454.26,70055633.0,2023-12-13
2023-11-21,453.1842,454.131,451.9599,453.27,49244639.0,2023-12-13
2023-11-22,454.98,456.38,453.8895,455.02,59446573.0,2023-12-13
2023-11-24,455.07,455.5,454.73,455.3,29737375.0,2023-12-13
2023-11-27,454.65,455.4901,454.0799,454.48,50505985.0,2023-12-13
2023-11-28,454.08,456.27,453.5,454.93,62115011.0,2023-12-13
2023-11-29,457.15,458.32,454.2,454.61,63145992.0,2023-12-13
2023-11-30,455.48,456.76,453.34,456.4,79752700.0,2023-12-13
2023-12-01,455.77,459.65,455.16,459.1,89183400.0,2023-12-13
2023-12-04,455.6,459.1206,454.34,456.69,72430888.0,2023-12-13
2023-12-05,455.26,457.59,454.87,456.6,69793469.0,2023-12-13
2023-12-06,458.81,458.84,454.31,454.76,67701116.0,2023-12-13
2023-12-07,456.91,458.9,456.29,458.23,66995446.0,2023-12-13
2023-12-08,457.46,460.745,457.21,460.2,83194404.0,2023-12-13
2023-12-11,459.69,462.17,459.47,461.99,65002247.0,2023-12-13
2023-12-12,461.63,464.2,460.6,464.1,68327617.0,2023-12-13
2023-12-13,464.49,470.7599,464.12,470.5,93277960.0,2023-12-13
2023-12-14,472.5,473.73,469.25,472.01,119026049.0,2023-12-13
2023-12-15,469.49,470.7,467.4263,469.33,141553673.0,2023-12-13
2023-12-18,470.98,472.98,469.8929,471.97,70375285.0,2023-12-13
2023-12-19,472.53,474.92,472.45,474.84,52024922.0,2023-12-13
2023-12-20,473.96,475.895,467.82,468.26,102920959.0,2023-12-13
2023-12-21,471.33,472.975,468.84,472.7,86667465.0,2023-12-13
2023-12-22,473.86,475.38,471.7,473.65,67160419.0,2023-12-13
2023-12-26,474.07,476.58,473.99,475.65,55386952.0,2023-12-13
2023-12-27,475.44,476.66,474.89,476.51,63874396.0,2023-12-13
2023-12-28,476.88,477.55,476.26,476.69,77158116.0,2023-12-13
2023-12-29,476.49,477.03,473.3,475.31,122283149.0,2023-12-13
2024-01-02,472.16,473.67,470.49,472.65,123007793.0,2023-12-13
2024-01-03,470.43,471.19,468.17,468.79,103585866.0,2023-12-13
2024-01-04,468.3,470.96,467.05,467.28,84232169.0,2023-12-13
2024-01-05,467.49,470.44,466.43,467.92,85553758.0,2023-12-13
2024-01-08,468.43,474.75,468.3,474.6,74879074.0,2023-12-13
2024-01-09,471.87,474.93,471.35,473.88,65931439.0,2023-12-13
2024-01-10,474.16,477.4481,473.87,476.56,67310640.0,2023-12-13
2024-01-11,477.59,478.12,472.26,476.35,77940723.0,2023-12-13
2024-01-12,477.84,478.6,475.23,476.68,58026420.0,2023-12-13
